Local time,Open,High,Low,Close
2020-12-12,626966.37,656737.74,616704.42,627984.71
2020-12-13,627817.34,649124.19,627033.19,641782.66
2020-12-14,641695.73,659570.42,598419.82,600182.06
2020-12-15,600252.88,602992.29,576401.76,590687.53
2020-12-16,590561.21,623386.78,588956.67,602052.92
2020-12-17,602080.44,604303.41,580147.23,590777.29
2020-12-18,590815.79,630340.79,588322.97,610278.92
2020-12-19,610308.9,633197.93,592808.54,627080.72
2020-12-20,627072.03,662987.79,613122.81,656449.58
2020-12-21,656604.3,680504.91,642167.45,652983.65
2020-12-22,652862.28,653025.62,616646.62,634396.42
2020-12-23,634367.33,664766.04,628509.56,648852.48
2020-12-24,648907.85,671096.5,642900.28,645145.57
2020-12-25,645295.53,670244.91,636374.03,654398.88
2020-12-26,654464.41,656659.45,622769.52,624770.13
2020-12-27,624696.1,651627.66,620217.47,644859.22
2020-12-28,644775.91,664255.07,630677.21,644935.82
2020-12-29,644929.62,657163.29,623733.04,627912.69
2020-12-30,627827.1,664225.27,618847.15,653676.16
2020-12-31,653721.05,655274.9,615217.99,643356.3
2021-01-01,643457.63,657176.38,635821.11,650103.88
2021-01-02,650186.69,654232.56,612937.52,633122.25
2021-01-03,633110.02,650304.34,616318.43,622285.07
2021-01-04,622279.26,651343.49,617547.8,633151.52
2021-01-05,633248.07,642001.04,609803.0,616075.65
2021-01-06,616151.73,667464.61,613051.86,660149.9
2021-01-07,659874.78,664316.84,625109.7,639191.1
2021-01-08,639173.96,672569.89,633945.08,668484.52
2021-01-09,668587.63,703852.17,661036.5,690573.24
2021-01-10,690459.14,714640.67,670675.0,677651.09
2021-01-11,677685.5,716352.01,660682.27,662754.99
2021-01-12,663051.26,674489.73,625607.18,627701.89
2021-01-13,627823.68,629842.26,604986.56,625750.79
2021-01-14,625557.6,627002.11,601971.33,625896.36
2021-01-15,625645.73,681138.32,622581.71,678309.96
2021-01-16,678129.18,716713.03,670794.07,697341.35
2021-01-17,697425.8,757004.21,689314.52,750777.61
2021-01-18,750930.99,829322.83,747937.86,806711.35
2021-01-19,806622.25,872293.57,800690.23,866163.53
2021-01-20,866392.92,895071.23,841306.43,846355.8
2021-01-21,846231.08,856388.32,829586.37,837381.84
2021-01-22,837627.06,865272.56,823572.25,853384.6
2021-01-23,853254.29,891913.75,853254.29,857846.55
2021-01-24,857717.88,881804.32,816352.44,818130.03
2021-01-25,818192.89,842069.03,799455.59,805104.95
2021-01-26,805051.36,831802.14,796313.01,825590.47
2021-01-27,825314.43,834107.08,801807.02,808147.85
2021-01-28,808094.54,851406.49,802694.86,811473.02
2021-01-29,811691.95,817184.02,780717.34,795590.43
2021-01-30,795433.26,815649.25,777585.89,805581.04
2021-01-31,805675.43,843495.63,803412.13,834340.77
2021-02-01,834425.82,875979.92,829447.01,860865.49
2021-02-02,861122.44,888734.47,850709.8,863919.77
2021-02-03,864059.16,866928.12,836379.05,855880.75
2021-02-04,855774.34,860445.29,830322.58,854629.14
2021-02-05,854555.4,855614.5,802290.7,808572.72
2021-02-06,808570.41,857557.02,795232.2,854567.27
2021-02-07,854509.4,863217.58,819138.79,828152.14
2021-02-08,828107.82,829318.56,777476.85,778514.09
2021-02-09,778730.38,788601.33,732065.85,738913.39
2021-02-10,739019.57,747572.8,718823.44,739342.78
2021-02-11,739513.04,771811.26,727898.96,738847.35
2021-02-12,738772.96,746207.31,719558.65,746091.56
2021-02-13,746082.52,783721.38,736820.33,775077.78
2021-02-14,775136.42,812893.4,757243.61,792467.71
2021-02-15,792326.66,819681.12,789884.07,802972.19
2021-02-16,803042.76,832512.84,789594.7,792683.05
2021-02-17,792661.55,797615.18,734683.93,753383.75
2021-02-18,753384.66,755484.35,696496.58,747112.25
2021-02-19,747280.72,789993.37,735296.39,754616.72
2021-02-20,754681.52,780731.31,735279.64,757898.58
2021-02-21,757987.8,768709.24,716856.76,717393.94
2021-02-22,717456.21,735768.63,705594.03,729580.74
2021-02-23,729508.39,773370.23,728971.06,757188.61
2021-02-24,757169.05,757315.29,731584.02,744508.43
2021-02-25,744651.56,751611.88,699469.83,702675.01
2021-02-26,702484.84,734268.29,688976.45,713304.32
2021-02-27,713663.64,723746.49,703272.03,713001.65
2021-02-28,713022.6,714655.73,677731.75,685725.6
2021-03-01,685767.31,717874.76,676716.87,698876.6
2021-03-02,698769.25,769382.67,696948.03,768588.91
2021-03-03,768724.83,776824.21,738480.5,748398.88
2021-03-04,748403.32,759545.18,691990.9,698323.56
2021-03-05,698385.39,698866.77,653097.22,660656.26
2021-03-06,660672.01,687684.23,649562.52,650140.94
2021-03-07,650231.25,661581.23,632172.02,661339.48
2021-03-08,661183.15,696653.92,645444.25,690224.32
2021-03-09,690325.02,700754.51,645469.33,646091.07
2021-03-10,645967.28,673895.88,641857.83,665928.1
2021-03-11,665752.71,686155.15,645826.99,681924.31
2021-03-12,681923.63,684533.62,632416.84,646229.94
2021-03-13,646237.73,673365.12,640552.34,664714.11
2021-03-14,664820.24,696967.69,656302.58,690723.03
2021-03-15,690837.08,691999.97,652987.13,659391.67
2021-03-16,659413.16,687733.36,609428.41,614188.91
2021-03-17,614316.35,635269.43,598898.62,627748.76
2021-03-18,627894.15,636234.6,606272.5,621024.18
2021-03-19,621022.85,624465.83,602415.07,612468.33
2021-03-20,612658.57,646063.7,606931.14,643800.15
2021-03-21,643619.52,702919.64,642253.66,692290.21
2021-03-22,692366.55,711643.43,672318.04,691926.67
2021-03-23,691978.08,691978.08,655758.62,677529.73
2021-03-24,677555.54,696313.75,669378.66,670154.73
2021-03-25,670080.98,706399.08,660097.63,696227.75
2021-03-26,696224.94,736008.36,690658.71,726881.67
2021-03-27,726951.02,775558.46,721593.24,770807.09
2021-03-28,770567.56,791149.15,738494.71,788767.31
2021-03-29,788727.31,793157.91,748087.82,761669.31
2021-03-30,761768.94,812952.0,759254.88,781198.15
2021-03-31,781327.52,806041.07,765868.03,776825.48
2021-04-01,776942.3,783794.34,725514.29,743003.85
2021-04-02,742831.86,788677.13,739375.74,771225.75
2021-04-03,771573.64,792355.71,747015.97,754762.44
2021-04-04,754741.55,767304.21,726949.96,728726.65
2021-04-05,729032.81,761103.14,716424.15,750506.47
2021-04-06,750414.71,755739.96,714659.47,731338.67
2021-04-07,731354.63,776406.42,723983.11,768200.37
2021-04-08,768178.46,810281.22,755913.1,784808.48
2021-04-09,784787.21,799714.91,748296.24,797140.9
2021-04-10,797190.12,820808.51,776212.02,813923.31
2021-04-11,813508.65,890477.83,809444.61,866960.19
2021-04-12,866774.88,879116.19,837726.82,851918.7
2021-04-13,851669.0,879492.76,837111.61,851210.26
2021-04-14,851284.01,874686.13,819866.61,821864.55
2021-04-15,821937.67,829541.6,766845.5,782576.69
2021-04-16,782432.55,828319.7,760607.49,769595.6
2021-04-17,769394.42,811285.42,765378.68,803188.98
2021-04-18,803299.67,816214.99,772299.65,795082.2
2021-04-19,794927.3,847039.25,786746.4,840898.15
2021-04-20,840724.15,861474.99,821671.75,855546.91
2021-04-21,855619.35,882454.55,847387.09,858858.26
2021-04-22,858903.17,880533.91,847123.36,862191.02
2021-04-23,862023.96,907912.05,856717.72,890067.33
2021-04-24,890018.37,920866.16,877974.42,899565.46
2021-04-25,899779.89,919448.99,881886.62,906212.7
2021-04-26,906019.27,916638.07,875042.1,915778.11
2021-04-27,915727.87,928931.58,877979.82,883452.39
2021-04-28,883498.04,913293.47,856317.53,901546.4
2021-04-29,901490.85,985027.73,900788.87,965364.69
2021-04-30,965080.05,1039816.42,954354.0,1007936.62
2021-05-01,1007997.06,1018520.83,973131.85,992081.6
2021-05-02,992271.42,1035044.91,971784.36,973237.86
2021-05-03,973178.53,988564.48,931556.56,944093.45
2021-05-04,944076.02,985122.84,913164.31,981349.36
2021-05-05,981278.17,1049355.08,977993.95,1035219.53
2021-05-06,1035065.34,1089642.2,1026102.15,1043161.44
2021-05-07,1042913.36,1047377.83,1002023.14,1039485.52
2021-05-08,1039804.73,1150290.7,1034053.06,1129683.96
2021-05-09,1129671.3,1134043.98,1059923.01,1071220.98
2021-05-10,1071320.1,1087157.05,1039348.53,1075414.83
2021-05-11,1075365.47,1107106.13,1056770.91,1080968.46
2021-05-12,1080812.29,1093277.74,1040401.77,1050402.84
2021-05-13,1050877.28,1054012.98,1010676.48,1037849.28
2021-05-14,1037915.58,1068464.38,1014511.7,1015641.75
2021-05-15,1015552.58,1057358.85,994984.85,1055960.95
2021-05-16,1056134.05,1070223.05,976805.84,978147.31
2021-05-17,978298.32,987100.33,915585.01,930385.18
2021-05-18,930257.89,946773.15,896406.87,938509.49
2021-05-19,938351.79,968408.29,922094.96,936423.49
2021-05-20,936450.41,966081.52,931135.87,943007.17
2021-05-21,942698.46,984468.15,942071.72,957146.25
2021-05-22,956769.59,962727.4,915332.18,932726.96
2021-05-23,932640.43,948627.45,885570.6,925357.57
2021-05-24,925296.61,937418.94,900281.54,902954.73
2021-05-25,902770.33,926524.49,862931.32,875184.56
2021-05-26,875146.3,881984.14,825176.54,833335.87
2021-05-27,833024.74,838187.68,781936.52,800865.14
2021-05-28,800840.69,834838.25,795965.01,803232.21
2021-05-29,802972.88,847646.02,792231.17,843556.59
2021-05-30,843397.85,902076.18,833763.2,892072.95
2021-05-31,891903.93,909417.63,871514.32,894363.15
2021-06-01,894158.56,930288.3,880499.74,887045.98
2021-06-02,886780.27,913021.73,876087.95,899514.74
2021-06-03,899630.8,906545.24,868823.52,888211.59
2021-06-04,888203.79,889394.64,845344.84,863174.02
2021-06-05,863429.78,895430.47,816351.12,880370.16
2021-06-06,880380.03,907244.54,858168.29,890956.66
2021-06-07,890901.26,934014.82,887331.8,932404.65
2021-06-08,932477.14,955698.46,923435.16,947135.66
2021-06-09,947108.85,1001818.83,931608.43,995578.02
2021-06-10,995371.72,1023173.8,959643.33,1021981.71
2021-06-11,1021797.97,1095033.57,1002775.93,1072700.67
2021-06-12,1073016.86,1088780.92,1030752.46,1078563.23
2021-06-13,1078258.26,1088282.07,1012008.88,1029533.51
2021-06-14,1029511.28,1038251.42,949428.94,971966.22
2021-06-15,971988.78,995392.84,960225.26,976309.15
2021-06-16,976368.17,1002127.16,939237.86,949844.22
2021-06-17,949913.51,985645.03,929977.53,967288.62
2021-06-18,967226.82,969127.27,909090.57,912347.25
2021-06-19,912273.2,914583.24,834511.03,847866.04
2021-06-20,848063.68,869408.98,824192.22,835165.44
2021-06-21,835238.52,878730.21,830205.51,838116.81
2021-06-22,838161.7,849294.84,793265.77,843020.94
2021-06-23,842835.4,863675.26,820823.46,824218.9
2021-06-24,824156.15,846226.6,747446.27,759609.75
2021-06-25,759910.33,766380.81,707693.72,710895.22
2021-06-26,711040.88,725736.58,693877.3,703241.18
2021-06-27,703054.41,774580.76,701787.92,754484.92
2021-06-28,754572.63,814724.71,753778.91,801085.24
2021-06-29,801233.07,827553.94,758947.06,817398.48
2021-06-30,817206.81,819676.87,762572.31,774390.8
2021-07-01,774195.37,823265.47,769394.27,801919.14
2021-07-02,802185.29,826670.74,782759.26,802259.78
2021-07-03,802181.34,809609.09,750235.49,754992.88
2021-07-04,755131.67,767350.13,696923.06,706075.29
2021-07-05,706119.59,716806.68,678022.38,678730.13
2021-07-06,678796.89,717827.18,673066.34,715125.89
2021-07-07,715075.01,732225.27,701075.03,727568.11
2021-07-08,727706.17,729951.33,690707.21,695873.61
2021-07-09,695996.8,697573.91,663566.2,684824.77
2021-07-10,684794.42,716701.47,669885.78,688377.76
2021-07-11,688379.49,700230.36,670252.98,674596.29
2021-07-12,674700.51,710499.93,670158.17,686214.94
2021-07-13,686063.71,705337.61,673535.94,691306.03
2021-07-14,691238.58,710179.44,663931.5,666908.45
2021-07-15,666700.38,690479.65,663351.58,667899.18
2021-07-16,667871.16,667871.16,628637.09,634058.44
2021-07-17,633989.26,646137.06,604447.31,605623.12
2021-07-18,605527.62,623610.73,592625.71,618657.49
2021-07-19,618846.56,629438.49,591549.65,624011.38
2021-07-20,624051.7,665004.13,605977.65,654864.64
2021-07-21,654743.63,682120.92,649552.79,662394.85
2021-07-22,662270.57,668360.55,642903.84,649442.88
2021-07-23,649377.25,669082.4,640850.68,659267.85
2021-07-24,659515.17,708976.48,648216.13,704873.82
2021-07-25,705051.22,740278.54,695668.72,735090.59
2021-07-26,734921.43,757879.48,703831.62,706969.71
2021-07-27,706987.51,710684.55,676397.89,677182.7
2021-07-28,677123.57,695529.09,658009.63,665478.43
2021-07-29,665653.99,696238.66,664125.42,676578.62
2021-07-30,676826.36,693072.92,654603.32,677607.12
2021-07-31,677701.82,678235.14,632094.81,635482.66
2021-08-01,635290.2,640340.58,619282.5,625875.38
2021-08-02,626065.75,630846.6,590782.92,590782.92
2021-08-03,590737.62,594604.85,560179.17,572205.73
2021-08-04,572129.72,590026.81,552427.75,576267.42
2021-08-05,576089.46,607767.63,573586.03,598683.31
2021-08-06,598604.13,603895.9,574309.76,595604.38
2021-08-07,595722.26,604202.78,561440.87,574816.43
2021-08-08,574700.48,594598.65,573042.44,576961.24
2021-08-09,577131.37,579371.22,548602.88,550569.71
2021-08-10,550736.01,564697.17,533178.37,561109.83
2021-08-11,561207.28,567167.62,523732.47,527764.15
2021-08-12,527742.12,545907.02,512787.21,544024.16
2021-08-13,543913.19,569375.16,529421.27,566427.38
2021-08-14,566481.39,617126.52,559138.84,604632.63
2021-08-15,604779.62,621914.33,583043.33,619304.53
2021-08-16,619328.32,631046.28,607041.65,614706.08
2021-08-17,614539.23,636840.42,606385.73,614176.98
2021-08-18,614208.47,650702.96,608562.03,642613.22
2021-08-19,642576.54,678341.18,635829.98,669502.96
2021-08-20,669703.53,689045.66,658013.45,670438.2
2021-08-21,670379.04,723111.02,662930.26,718801.17
2021-08-22,718813.47,776251.69,715939.57,750279.53
2021-08-23,750337.34,793711.31,748905.1,755871.29
2021-08-24,755929.94,773541.86,740512.97,769214.73
2021-08-25,769354.63,843664.08,757794.63,828844.74
2021-08-26,828987.94,882152.81,819567.91,881950.66
2021-08-27,882215.46,937997.87,878299.59,921122.3
2021-08-28,921228.26,938398.08,886362.23,888305.66
2021-08-29,888250.9,908625.41,862224.6,865025.02
2021-08-30,864977.66,910181.62,864529.93,892384.24
2021-08-31,892345.57,908114.99,864039.15,868479.44
2021-09-01,868558.7,869644.3,820972.9,855297.27
2021-09-02,855335.43,874583.54,830785.07,861795.71
2021-09-03,861721.83,870196.4,831834.86,838612.4
2021-09-04,838496.37,871064.48,835234.63,853793.36
2021-09-05,853576.2,880076.71,846041.28,858731.17
2021-09-06,858451.77,875618.37,827795.45,857788.5
2021-09-07,857824.45,864116.05,782186.45,791167.77
2021-09-08,791006.34,808159.78,775119.53,778099.13
2021-09-09,778108.27,791575.21,751128.78,755987.2
2021-09-10,755766.82,796822.76,737197.57,792467.28
2021-09-11,792007.26,792007.26,724768.5,732584.37
2021-09-12,732615.17,733006.62,708130.49,732311.61
2021-09-13,732134.38,752390.34,720543.67,730325.33
2021-09-14,730188.62,784748.97,725585.76,765557.03
2021-09-15,765315.69,827813.23,764637.81,808093.26
2021-09-16,808058.43,842204.26,796191.95,811864.08
2021-09-17,811839.82,826715.35,774539.34,782232.25
2021-09-18,782280.98,785960.67,713791.89,729357.56
2021-09-19,729556.7,752672.07,717470.38,721305.2
2021-09-20,721302.15,734490.32,691640.37,712002.19
2021-09-21,712195.28,759634.29,708856.47,742949.55
2021-09-22,742714.67,752311.99,701413.23,703695.53
2021-09-23,703708.3,722354.32,675136.84,679151.8
2021-09-24,679121.24,681747.1,643204.69,654827.06
2021-09-25,654906.14,703563.68,654185.21,688727.76
2021-09-26,688614.66,702870.44,670644.04,696374.72
2021-09-27,696312.29,736830.95,693409.93,730355.79
2021-09-28,730265.5,738741.58,708012.84,719623.43
2021-09-29,719644.22,742916.39,707586.22,712708.9
2021-09-30,712496.39,734551.8,700665.11,722858.16
2021-10-01,722976.35,728632.67,691282.42,699722.97
2021-10-02,699494.38,724224.41,698573.47,716618.62
2021-10-03,716484.59,748864.45,710144.12,719545.41
2021-10-04,719731.29,740238.57,705137.08,713190.75
2021-10-05,713332.17,740408.3,697835.13,733114.56
2021-10-06,733241.45,733241.45,680884.51,698686.98
2021-10-07,698523.8,719632.37,667411.04,668288.79
2021-10-08,668383.87,696358.6,656973.31,694817.12
2021-10-09,694746.14,708712.01,676413.51,701099.63
2021-10-10,701098.35,782989.01,697710.19,779504.4
2021-10-11,779475.64,810198.74,757791.31,774337.69
2021-10-12,774043.76,798260.4,757221.6,780882.57
2021-10-13,780873.42,814226.71,768062.94,800266.57
2021-10-14,800313.2,834064.1,784983.25,826087.8
2021-10-15,826100.41,856484.28,808800.44,809391.45
2021-10-16,809441.8,824902.58,784411.19,786153.74
2021-10-17,786077.13,800528.47,724319.62,742615.16
2021-10-18,742399.96,760072.97,706496.74,714974.03
2021-10-19,714892.24,768511.86,707304.8,739548.36
2021-10-20,739461.57,743241.49,711743.74,720792.34
2021-10-21,720756.81,730736.09,701061.88,703347.79
2021-10-22,703299.68,722209.99,669339.82,711118.07
2021-10-23,711091.35,722976.64,691170.61,707807.74
2021-10-24,707741.64,743441.35,703109.22,731477.79
2021-10-25,731643.71,738636.99,675768.34,678450.73
2021-10-26,678642.27,696685.29,659554.46,691658.58
2021-10-27,691385.41,727494.36,684473.65,712684.58
2021-10-28,712556.64,750521.73,704044.95,732656.93
2021-10-29,732902.89,750558.46,727031.27,731661.44
2021-10-30,731561.89,763089.54,721590.05,730761.84
2021-10-31,730842.51,731381.79,667300.59,673994.72
2021-11-01,673808.41,697497.02,667231.75,678440.23
2021-11-02,678314.83,703115.39,669367.28,679445.98
2021-11-03,679497.98,682499.57,654651.94,678369.1
2021-11-04,678379.66,715921.6,668058.23,700680.85
2021-11-05,700555.5,751140.2,698708.97,748102.34
2021-11-06,748290.09,753357.49,715645.68,723445.65
2021-11-07,723578.39,734965.18,687428.08,720905.2
2021-11-08,720846.25,740357.28,699013.65,718442.5
2021-11-09,718533.5,737389.25,708672.13,729305.26
2021-11-10,729400.76,749863.27,689762.79,694007.57
2021-11-11,693826.32,712816.65,679834.51,691993.01
2021-11-12,691994.68,756417.03,689946.78,752661.6
2021-11-13,752743.05,753340.01,714926.29,730891.54
2021-11-14,730935.1,747099.23,666710.42,682410.82
2021-11-15,682226.74,699302.31,651325.02,670923.66
2021-11-16,670970.46,705231.03,661526.51,695859.51
2021-11-17,696003.07,698400.67,672818.91,684337.99
2021-11-18,684209.43,704141.2,667840.2,677469.34
2021-11-19,677524.85,705624.3,665045.08,665418.28
2021-11-20,665569.71,666824.84,629474.36,629834.02
2021-11-21,629775.42,665050.46,623448.13,653129.02
2021-11-22,653185.46,667186.54,609180.04,609843.86
2021-11-23,609951.98,627542.26,607379.52,610470.67
2021-11-24,610455.41,621403.05,600005.72,612173.32
2021-11-25,612220.18,636129.32,605195.25,620535.5
2021-11-26,620198.76,622171.92,590138.47,601972.49
2021-11-27,602072.09,604375.07,557031.54,581909.09
2021-11-28,581839.56,586112.5,545751.76,549970.73
2021-11-29,549724.34,562122.25,532642.68,555892.0
2021-11-30,556017.2,584842.17,552120.81,581859.33
2021-12-01,581979.14,632485.46,581886.94,626927.01
2021-12-02,626939.62,677397.61,626604.92,674317.1
2021-12-03,674207.93,702483.65,671418.53,687732.71
2021-12-04,687608.66,726216.41,686175.82,715443.25
2021-12-05,715320.18,782539.37,709537.43,780115.96
2021-12-06,779943.25,786626.89,750057.04,762583.26
2021-12-07,762470.43,801820.25,745426.17,783916.81
2021-12-08,783986.64,809988.66,753608.11,759760.13
2021-12-09,759798.66,773867.6,726603.94,730644.49
2021-12-10,730595.24,735627.36,692990.85,716495.36
2021-12-11,716444.53,756537.2,715304.31,738857.48
2021-12-12,738938.9,746811.58,715876.53,735952.08
2021-12-13,735932.76,774401.67,730036.79,750390.66
2021-12-14,750366.0,772070.02,740202.9,764026.11
2021-12-15,764232.8,834866.79,763752.01,824953.51
2021-12-16,825249.43,888903.46,819525.03,875447.01
2021-12-17,875496.46,908545.51,865678.99,884618.76
2021-12-18,885008.35,891198.33,838880.96,843311.61
2021-12-19,843286.0,867908.1,824046.27,847464.87
2021-12-20,847487.27,878134.36,832203.58,870673.63
2021-12-21,870658.47,896637.26,862647.76,879024.31
2021-12-22,879247.77,880595.7,818109.82,846212.45
2021-12-23,846344.41,893148.77,830380.72,879456.82
2021-12-24,879511.76,880476.72,831466.86,857100.44
2021-12-25,856846.48,909504.65,835429.42,870269.09
2021-12-26,870522.76,888343.45,856605.51,878099.13
2021-12-27,878122.45,905997.62,845274.1,845505.18
2021-12-28,845344.87,856359.83,811496.37,813257.53
2021-12-29,813144.6,818347.01,783208.24,784241.05
2021-12-30,784456.65,784600.29,756655.73,767100.42
2021-12-31,767238.75,787395.9,756112.92,778292.93
2022-01-01,778582.52,785754.38,747862.31,756372.19
2022-01-02,756281.55,771178.31,727028.55,737294.42
2022-01-03,737482.33,756305.13,716855.0,719424.72
2022-01-04,719187.48,774994.9,718666.96,762897.49
2022-01-05,762858.47,777166.96,755138.23,759181.02
2022-01-06,759192.49,769784.39,697022.4,699833.15
2022-01-07,699823.94,724333.94,689523.46,718289.59
2022-01-08,718271.54,754044.82,713435.45,741401.56
2022-01-09,741301.56,820051.33,732273.48,809713.32
2022-01-10,810049.19,855732.44,804472.75,849662.68
2022-01-11,849772.95,862780.83,826577.14,841485.72
2022-01-12,841288.79,853933.6,799174.17,816334.28
2022-01-13,816544.19,857650.41,815383.74,853870.35
2022-01-14,853972.66,924751.81,833531.87,920340.18
2022-01-15,920089.01,929964.81,887722.83,904064.88
2022-01-16,903997.0,910241.86,858058.69,864000.37
2022-01-17,864046.33,869479.63,807680.93,833388.14
2022-01-18,833290.0,840726.82,809238.26,831814.73
2022-01-19,831760.25,846217.48,789542.66,829499.82
2022-01-20,829470.28,843934.07,809204.0,830121.17
2022-01-21,829925.25,870916.84,810133.91,869716.22
2022-01-22,869863.7,914412.74,862926.18,909253.72
2022-01-23,908962.56,928371.43,867111.76,870948.16
2022-01-24,870799.82,939817.8,848223.87,920350.59
2022-01-25,920014.37,1010980.05,910339.56,1006829.84
2022-01-26,1006777.25,1032112.15,964023.04,967620.31
2022-01-27,967344.58,1002675.25,927947.12,942262.29
2022-01-28,942114.84,967235.35,931772.03,965380.22
2022-01-29,965451.9,1013234.18,959305.41,994761.35
2022-01-30,994367.45,997224.22,939927.33,976371.12
2022-01-31,976146.3,1004601.29,931976.67,945520.91
2022-02-01,945532.02,996623.67,923742.35,985954.03
2022-02-02,985732.54,1020677.15,983995.19,1006022.27
2022-02-03,1005848.5,1013630.0,958864.49,976131.24
2022-02-04,976220.04,1025568.87,947749.58,995795.4
2022-02-05,995788.53,1035535.67,960240.29,1021320.49
2022-02-06,1021687.82,1052638.2,993174.3,1018976.45
2022-02-07,1019032.43,1019737.15,937673.38,950003.63
2022-02-08,949921.32,975709.66,909596.12,910421.13
2022-02-09,910556.28,940333.96,893914.37,908615.87
2022-02-10,908648.94,925484.37,854960.11,883681.65
2022-02-11,883887.57,896277.28,841379.57,852328.32
2022-02-12,852343.45,871504.86,829693.81,865496.32
2022-02-13,865417.8,879324.17,813617.43,823049.8
2022-02-14,823174.33,829987.0,794251.47,813855.7
2022-02-15,814155.45,835498.58,793743.06,818258.12
2022-02-16,818023.44,832479.71,793957.04,802237.28
2022-02-17,802034.46,823670.44,764089.43,769559.57
2022-02-18,769708.99,819654.24,761823.2,774406.91
2022-02-19,774459.64,821617.46,772468.82,815966.88
2022-02-20,816019.47,819747.69,772280.12,786578.4
2022-02-21,786759.89,800587.19,775987.63,796600.02
2022-02-22,796646.23,803612.41,755389.89,756554.11
2022-02-23,756535.31,797434.51,755056.55,785795.3
2022-02-24,785872.0,831406.62,763907.62,818517.06
2022-02-25,818382.86,862215.55,817746.22,854682.89
2022-02-26,854770.52,870962.08,826428.91,866091.64
2022-02-27,866183.02,966052.85,855905.53,965734.46
2022-02-28,965118.66,977473.37,895536.46,900348.57
2022-03-01,900278.83,953281.08,896517.08,942593.22
2022-03-02,942750.75,966627.64,907610.14,921375.55
2022-03-03,921749.96,957363.89,908007.63,926918.01
2022-03-04,926978.78,972579.32,916191.61,961238.05
2022-03-05,961407.18,965953.89,922536.98,941441.78
2022-03-06,941771.23,958200.47,896915.61,915214.62
2022-03-07,915186.93,933044.16,882771.51,929287.24
2022-03-08,929208.74,952382.05,912131.64,927036.99
2022-03-09,927070.87,939109.67,892925.59,907642.38
2022-03-10,907736.0,944837.09,899860.03,920543.38
2022-03-11,920594.27,930774.11,892549.75,917834.63
2022-03-12,917659.46,917659.46,863390.76,908359.23
2022-03-13,908522.59,974849.12,894146.66,948941.82
2022-03-14,948886.99,1002513.53,942134.99,991492.34
2022-03-15,991806.45,1014590.58,943696.14,991287.58
2022-03-16,991063.31,1000967.68,955974.95,976296.97
2022-03-17,976152.68,989641.49,936795.95,951633.15
